Folder Number,Particle,Energy,Position,Direction,Run number,Silicon_2 enter location,Silicon_1 enter location,Scint_1 enter location,Scint_2 enter location,Number of photons created,Number of electron-hole pairs created in Silicon_1,Number of electron-hole pairs created in Silicon_2,Photons absorbed in Scint_1 Top-Left,Photons absorbed in Scint_1 Bottom-Right,Photons absorbed in Scint_1 Top-Right,Photons absorbed in Scint_1 Bottom-Left,Photons absorbed in Scint_2 Top-Left,Photons absorbed in Scint_2 Bottom-Right,Photons absorbed in Scint_2 Top-Right,Photons absorbed in Scint_2 Bottom-Left
1,mu+,1000,"(0, 0, -4)","(0, 0, 1)",1,"(0,0,-3.2)","(-0.00431583,0.00346656,9.6)","(-0.00534656,0.0184996,22.4)","(-0.00145877,0.032407,35.2)",64960.0,0,0,338,306,324,281,236,205,199,228
2,mu+,1000,"(0, 0, -4)","(1, 1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
3,mu+,1000,"(0, 0, -4)","(-1, -1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
4,mu+,1000,"(1, 1, -4)","(0, 0, 1)",1,"(10,10,-3.2)","(10.0015,10.008,9.6)","(10.0079,10.0262,22.4)","(10.0139,10.036,35.2)",58030.0,0,0,287,252,201,371,211,158,306,201
5,mu+,1000,"(1, 1, -4)","(1, 1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
6,mu+,1000,"(1, 1, -4)","(-1, -1, 1)",1,"(-26.8,-26.8,-3.2)",None,None,None,19016.0,0,0,3899,260,199,201,0,0,0,0
7,mu+,1000,"(-1, -1, -4)","(0, 0, 1)",1,"(-10,-10,-3.2)","(-10.0053,-10.0064,9.6)","(-10.027,-10.0372,22.4)","(-10.0535,-10.0555,35.2)",57924.0,0,0,293,294,404,224,255,186,145,147
8,mu+,1000,"(-1, -1, -4)","(1, 1, 1)",1,"(26.8,26.8,-3.2)",None,None,None,19422.0,0,0,3796,227,211,232,0,0,0,0
9,mu+,1000,"(-1, -1, -4)","(-1, -1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
10,e-,1000,"(0, 0, -4)","(0, 0, 1)",1,"(0,0,-3.2)","(0.00468981,0.00586554,9.6)","(-0.00471932,0.0192358,22.4)","(-0.0140399,0.0458169,35.2)",63186.0,0,0,339,311,290,282,236,259,250,257
11,e-,1000,"(0, 0, -4)","(1, 1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
12,e-,1000,"(0, 0, -4)","(-1, -1, 1)",1,None,None,None,None,0.0,0,0,0,0,0,0,0,0,0,0
13,e-,1000,"(1, 1, -4)","(0, 0, 1)",1,"(10,10,-3.2)","(10.0046,9.99756,9.6)","(9.98075,9.97977,22.4)","(9.9299,9.95319,35.2)",57833.0,0,0,312,307,235,434,198,304,165,166
