Folder Number,Particle,Energy,Position,Direction
1,mu+,1000,"(0, 0, -4)","(0, 0, 1)"
2,mu+,1000,"(0, 0, -4)","(1, 1, 1)"
3,mu+,1000,"(0, 0, -4)","(-1, -1, 1)"
4,mu+,1000,"(1, 1, -4)","(0, 0, 1)"
5,mu+,1000,"(1, 1, -4)","(1, 1, 1)"
6,mu+,1000,"(1, 1, -4)","(-1, -1, 1)"
7,mu+,1000,"(-1, -1, -4)","(0, 0, 1)"
8,mu+,1000,"(-1, -1, -4)","(1, 1, 1)"
9,mu+,1000,"(-1, -1, -4)","(-1, -1, 1)"
10,e-,1000,"(0, 0, -4)","(0, 0, 1)"
11,e-,1000,"(0, 0, -4)","(1, 1, 1)"
12,e-,1000,"(0, 0, -4)","(-1, -1, 1)"
13,e-,1000,"(1, 1, -4)","(0, 0, 1)"
14,e-,1000,"(1, 1, -4)","(1, 1, 1)"
15,e-,1000,"(1, 1, -4)","(-1, -1, 1)"
16,e-,1000,"(-1, -1, -4)","(0, 0, 1)"
17,e-,1000,"(-1, -1, -4)","(1, 1, 1)"
18,e-,1000,"(-1, -1, -4)","(-1, -1, 1)"
19,proton,1000,"(0, 0, -4)","(0, 0, 1)"
20,proton,1000,"(0, 0, -4)","(1, 1, 1)"
21,proton,1000,"(0, 0, -4)","(-1, -1, 1)"
22,proton,1000,"(1, 1, -4)","(0, 0, 1)"
23,proton,1000,"(1, 1, -4)","(1, 1, 1)"
24,proton,1000,"(1, 1, -4)","(-1, -1, 1)"
25,proton,1000,"(-1, -1, -4)","(0, 0, 1)"
26,proton,1000,"(-1, -1, -4)","(1, 1, 1)"
27,proton,1000,"(-1, -1, -4)","(-1, -1, 1)"
28,mu-,1000,"(0, 0, -4)","(0, 0, 1)"
29,mu-,1000,"(0, 0, -4)","(1, 1, 1)"
30,mu-,1000,"(0, 0, -4)","(-1, -1, 1)"
31,mu-,1000,"(1, 1, -4)","(0, 0, 1)"
32,mu-,1000,"(1, 1, -4)","(1, 1, 1)"
33,mu-,1000,"(1, 1, -4)","(-1, -1, 1)"
34,mu-,1000,"(-1, -1, -4)","(0, 0, 1)"
35,mu-,1000,"(-1, -1, -4)","(1, 1, 1)"
36,mu-,1000,"(-1, -1, -4)","(-1, -1, 1)"
37,e+,1000,"(0, 0, -4)","(0, 0, 1)"
38,e+,1000,"(0, 0, -4)","(1, 1, 1)"
39,e+,1000,"(0, 0, -4)","(-1, -1, 1)"
40,e+,1000,"(1, 1, -4)","(0, 0, 1)"
41,e+,1000,"(1, 1, -4)","(1, 1, 1)"
42,e+,1000,"(1, 1, -4)","(-1, -1, 1)"
43,e+,1000,"(-1, -1, -4)","(0, 0, 1)"
44,e+,1000,"(-1, -1, -4)","(1, 1, 1)"
45,e+,1000,"(-1, -1, -4)","(-1, -1, 1)"
46,"ion - (2, 4, 2)",1000,"(0, 0, -4)","(0, 0, 1)"
47,"ion - (2, 4, 2)",1000,"(0, 0, -4)","(1, 1, 1)"
48,"ion - (2, 4, 2)",1000,"(0, 0, -4)","(-1, -1, 1)"
49,"ion - (2, 4, 2)",1000,"(1, 1, -4)","(0, 0, 1)"
50,"ion - (2, 4, 2)",1000,"(1, 1, -4)","(1, 1, 1)"
51,"ion - (2, 4, 2)",1000,"(1, 1, -4)","(-1, -1, 1)"
52,"ion - (2, 4, 2)",1000,"(-1, -1, -4)","(0, 0, 1)"
53,"ion - (2, 4, 2)",1000,"(-1, -1, -4)","(1, 1, 1)"
54,"ion - (2, 4, 2)",1000,"(-1, -1, -4)","(-1, -1, 1)"
